z,theta_deg,r_l1_vox,r_um,k_inner,k_outer,n_in_pack,material
912,0.0,139.5,2411,1,2,2,0
912,0.0,175.2,3028,2,3,2,1
912,0.0,221.2,3823,4,5,2,1
912,0.0,308.0,5322,9,10,2,1
912,0.0,449.0,7759,20,21,5,1
912,0.0,461.0,7966,20,21,5,0
912,0.0,473.0,8173,20,21,5,1
912,0.0,485.0,8381,20,21,5,1
912,0.0,510.2,8817,21,22,2,0
912,0.0,563.2,9733,25,26,2,1
912,0.0,580.8,10035,26,28,2,1
912,0.0,719.2,12429,42,43,2,1
912,0.0,737.2,12740,43,44,2,1
912,0.0,761.4,13157,45,46,3,1
912,0.0,769.3,13294,45,46,3,1
912,0.0,787.4,13606,46,48,2,1
912,0.0,824.5,14247,50,51,7,1
912,0.0,834.5,14420,50,51,7,1
912,0.0,844.5,14593,50,51,7,1
912,0.0,854.5,14766,50,51,7,1
912,0.0,864.5,14939,50,51,7,1
912,0.0,874.5,15111,50,51,7,1
912,0.0,894.2,15451,51,52,3,1
912,0.0,903.8,15618,51,52,3,1
912,0.0,935.0,16157,53,55,3,1
912,0.0,945.0,16330,53,55,3,1
912,0.0,966.5,16701,55,56,3,1
912,0.0,978.0,16900,55,56,3,1
912,0.0,1053.7,18207,61,62,3,1
912,0.0,1061.3,18340,61,62,3,0
912,6.0,129.7,2241,0,1,3,0
912,6.0,145.3,2511,0,1,3,1
912,6.0,174.8,3020,1,2,2,1
912,6.0,266.8,4609,7,8,2,1
912,6.0,331.2,5724,13,14,2,1
912,6.0,377.5,6523,17,18,2,0
912,6.0,428.8,7410,20,21,3,1
912,6.0,441.2,7623,20,21,3,1
912,6.0,475.2,8212,22,23,2,1
912,6.0,499.8,8637,23,24,3,1
912,6.0,513.2,8868,23,24,3,1
912,6.0,741.2,12809,47,48,2,1
912,6.0,770.0,13306,49,50,2,1
912,6.0,892.5,15422,58,59,2,1
912,6.0,951.2,16438,60,61,2,1
912,6.0,986.7,17049,62,63,2,1
912,6.0,1004.5,17358,63,68,5,1
912,6.0,1014.3,17527,63,68,5,1
912,6.0,1024.0,17695,63,68,5,1
912,6.0,1033.8,17863,63,68,5,1
912,12.0,107.5,1858,1,2,3,1
912,12.0,118.5,2048,1,2,3,1
912,12.0,143.5,2480,2,3,2,1
912,12.0,232.0,4009,8,9,2,1
912,12.0,251.5,4346,9,10,2,1
912,12.0,327.8,5665,16,19,2,1
912,12.0,422.8,7305,27,28,2,1
912,12.0,473.4,8180,30,32,2,1
912,12.0,511.2,8833,33,36,2,1
912,12.0,535.8,9259,36,37,3,1
912,12.0,546.7,9446,36,37,3,1
912,12.0,598.2,10338,40,41,2,1
912,12.0,649.5,11223,45,46,2,1
912,12.0,797.1,13773,58,59,3,1
912,12.0,808.6,13973,58,59,3,1
912,12.0,831.1,14361,59,65,2,1
912,18.0,60.8,1050,2,3,2,1
912,18.0,80.6,1393,3,4,4,1
912,18.0,88.8,1534,3,4,4,1
912,18.0,96.9,1674,3,4,4,1
912,18.0,114.0,1970,4,5,2,1
912,18.0,195.8,3383,10,11,2,1
912,18.0,217.8,3763,11,12,2,1
912,18.0,271.4,4689,15,16,2,1
912,18.0,290.6,5022,16,21,2,1
912,18.0,391.2,6761,31,32,4,1
912,18.0,401.5,6938,31,32,4,1
912,18.0,411.8,7115,31,32,4,1
912,18.0,433.8,7495,32,33,2,1
912,18.0,478.8,8274,35,36,3,1
912,18.0,490.7,8479,35,36,3,1
912,18.0,536.0,9262,37,38,2,1
912,24.0,63.2,1092,2,5,2,1
912,24.0,87.5,1512,5,6,2,1
912,24.0,282.0,4874,19,20,2,1
912,24.0,300.5,5194,20,25,2,1
912,24.0,337.1,5825,26,27,2,1
912,24.0,371.6,6421,27,37,2,1
912,24.0,462.8,7996,41,42,2,1
912,24.0,560.8,9691,46,47,5,1
912,24.0,574.6,9930,46,47,5,1
912,24.0,588.5,10169,46,47,5,1
912,24.0,602.3,10407,46,47,5,1
912,24.0,625.0,10801,47,52,2,1
912,24.0,735.8,12714,59,60,2,1
912,30.0,192.0,3318,14,15,2,1
912,30.0,274.9,4749,20,21,2,1
912,30.0,293.9,5078,21,26,2,1
912,30.0,329.7,5697,28,29,2,1
912,30.0,343.9,5943,29,32,2,1
912,30.0,383.3,6624,35,36,3,1
912,30.0,391.7,6768,35,36,3,1
912,30.0,409.5,7076,36,37,2,1
912,30.0,429.2,7417,37,38,2,0
912,30.0,459.8,7944,39,40,2,0
912,30.0,479.2,8281,40,42,6,1
912,30.0,489.0,8450,40,42,6,1
912,30.0,498.8,8618,40,42,6,1
912,30.0,508.5,8787,40,42,6,1
912,30.0,518.2,8955,40,42,6,0
912,30.0,621.5,10740,50,51,2,1
912,30.0,654.5,11310,52,53,3,1
912,30.0,663.5,11465,52,53,3,1
912,30.0,679.8,11746,53,54,2,1
912,30.0,765.5,13228,62,63,2,1
912,30.0,863.3,14918,72,73,3,1
912,30.0,873.2,15088,72,73,3,1
912,30.0,926.8,16014,77,78,2,1
912,36.0,194.5,3361,16,18,2,0
912,36.0,263.6,4555,21,24,2,1
912,36.0,476.0,8225,40,41,2,1
912,36.0,583.5,10083,50,51,2,1
912,36.0,618.5,10688,53,54,2,1
912,36.0,666.2,11513,57,58,2,1
912,36.0,685.0,11837,58,59,2,1
912,36.0,706.0,12200,59,60,3,1
912,36.0,717.0,12390,59,60,3,1
912,36.0,774.0,13375,64,65,2,1
