z,theta_deg,k,r_l1_vox,conf
912,0.0,63,1076.5,1
912,18.0,70,874.5,1
912,18.0,71,884.5,1
912,216.0,52,849.0,1
912,216.0,53,861.0,1
912,228.0,37,628.0,1
912,264.0,23,432.5,1
912,288.0,12,255.5,1
912,288.0,13,271.5,1
912,324.0,34,605.0,1
912,348.0,57,933.0,1
912,348.0,58,941.0,1
912,348.0,59,949.0,1
944,24.0,74,900.0,1
944,222.0,52,829.0,1
944,222.0,53,838.0,1
944,240.0,35,575.0,1
944,258.0,20,452.0,1
944,264.0,22,429.0,1
944,276.0,17,262.0,1
944,276.0,18,269.0,1
944,276.0,21,302.0,1
944,282.0,19,270.0,2
944,294.0,22,279.0,1
944,312.0,20,506.0,1
944,312.0,21,535.0,1
944,318.0,35,583.0,1
944,318.0,36,590.0,1
944,318.0,37,598.0,1
944,324.0,41,640.0,1
944,354.0,70,1114.0,1
976,12.0,66,919.0,1
976,30.0,74,920.0,1
976,48.0,71,782.0,1
976,204.0,67,936.5,1
976,228.0,41,648.5,1
976,228.0,42,664.5,1
976,312.0,22,556.5,2
976,318.0,22,590.5,2
976,318.0,23,600.5,1
976,318.0,24,614.5,1
976,336.0,43,779.0,1
976,354.0,72,1116.5,1
1008,24.0,84,930.0,1
1008,24.0,85,936.0,1
1008,36.0,87,960.0,1
1008,162.0,60,906.5,1
1008,162.0,61,914.5,1
1008,162.0,62,923.5,1
1008,198.0,81,926.0,1
1008,198.0,82,939.0,1
1008,282.0,27,428.0,1
1008,282.0,28,436.0,1
1008,282.0,29,443.0,1
1008,288.0,30,414.0,1
1008,288.0,31,426.0,1
1008,306.0,25,505.0,1
1008,354.0,68,1124.5,1
1040,0.0,72,1141.0,1
1040,24.0,76,894.5,1
1040,24.0,77,907.5,1
1040,24.0,78,918.5,1
1040,102.0,65,670.5,1
1040,102.0,66,679.5,1
1040,108.0,63,663.5,1
1040,300.0,34,541.0,1
1040,312.0,33,615.5,1
1040,342.0,55,975.0,1
1040,342.0,56,985.0,1
1040,348.0,53,1080.5,1
1072,6.0,78,1109.0,1
1072,24.0,72,875.0,1
1072,24.0,73,884.0,1
1072,24.0,74,892.0,1
1072,162.0,71,977.0,1
1072,162.0,72,983.0,1
1072,204.0,77,829.0,1
1072,246.0,37,535.0,1
1072,246.0,38,552.0,1
1072,246.0,39,559.0,1
1072,264.0,36,491.0,1
1072,264.0,37,503.0,1
1072,264.0,38,510.0,1
1072,288.0,33,521.0,1
1072,318.0,41,671.0,1
1072,318.0,42,689.0,1
1072,318.0,43,695.0,1
1072,342.0,51,1004.5,1
1104,36.0,90,929.5,1
1104,36.0,91,937.5,1
1104,174.0,78,1112.0,1
1104,270.0,44,539.0,1
1104,294.0,40,549.0,1
1104,294.0,41,556.0,1
1104,318.0,45,730.0,1
1104,342.0,68,1061.0,1
1104,348.0,73,1091.0,1
1136,0.0,75,1108.5,1
1136,6.0,85,1123.0,1
1136,78.0,65,689.0,1
1136,108.0,68,706.5,1
1136,204.0,72,896.5,1
1136,204.0,73,913.5,1
1136,222.0,78,935.5,1
1136,222.0,79,941.5,1
1136,258.0,45,590.0,1
1136,258.0,46,598.0,1
1136,258.0,47,610.0,1
1136,264.0,42,558.5,1
1136,300.0,48,635.0,1
1136,318.0,41,713.0,1
1136,318.0,42,734.0,1
1136,336.0,67,945.0,1
1136,336.0,68,953.0,1
1136,336.0,69,967.0,1
1136,336.0,70,973.0,1
1168,18.0,60,835.5,1
1168,18.0,61,852.5,2
1168,18.0,62,861.5,1
1168,18.0,63,873.5,1
1168,18.0,64,882.5,1
1168,24.0,61,864.0,2
1168,36.0,87,945.5,1
1168,186.0,82,993.5,1
1168,204.0,68,893.0,1
1168,210.0,71,842.5,1
1168,210.0,72,848.5,1
1168,210.0,73,858.5,1
1168,210.0,74,867.5,1
1168,240.0,57,733.5,1
1168,300.0,35,687.5,1
1200,6.0,85,1097.0,1
1200,24.0,70,843.0,2
1200,24.0,71,855.0,2
1200,24.0,72,863.0,1
1200,24.0,73,875.0,1
1200,36.0,86,962.0,1
1200,318.0,53,784.0,1
1200,318.0,54,793.0,1
1200,318.0,55,801.0,1
1200,354.0,77,1071.0,1
1200,354.0,78,1081.0,1
1232,24.0,69,816.0,1
1232,24.0,70,830.0,2
1232,24.0,71,836.0,2
1232,30.0,56,870.0,1
1232,30.0,57,879.0,1
1232,210.0,72,871.5,1
1232,264.0,55,693.5,1
1232,300.0,52,654.0,2
1232,300.0,53,661.0,2
1264,24.0,57,786.5,1
1264,24.0,58,798.5,1
1264,24.0,59,806.5,1
1264,24.0,60,819.5,1
1264,24.0,61,828.5,1
1264,30.0,69,881.5,1
1264,30.0,70,899.5,1
1264,36.0,63,988.5,1
1264,180.0,64,997.0,1
1264,240.0,61,845.0,1
1264,240.0,62,853.0,1
1264,240.0,63,862.0,1
1264,270.0,46,731.5,1
1264,300.0,51,655.5,1
1264,300.0,52,664.5,2
1264,300.0,53,680.5,2
1296,0.0,80,1011.5,1
1296,0.0,81,1023.5,1
1296,0.0,82,1031.5,1
1296,78.0,57,762.5,2
1296,84.0,57,758.0,2
1296,174.0,64,1120.0,1
1296,210.0,66,768.0,1
1296,210.0,67,779.0,1
1296,210.0,68,800.0,1
1296,210.0,69,812.0,1
1328,30.0,75,902.0,1
1328,36.0,76,969.0,1
1328,48.0,63,951.0,1
1328,54.0,81,993.0,1
1328,78.0,67,788.0,1
