col,line,letter,s_read_mm,z_mm,turn,r_mm,x_wound,y_wound,x_crushed,y_crushed
1.0000,1.0000,1.0000,152.0800,26.3950,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,1.0000,2.0000,156.2400,26.3950,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,1.0000,3.0000,160.4000,26.3950,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,1.0000,4.0000,164.5600,26.3950,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,1.0000,5.0000,168.7200,26.3950,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,1.0000,6.0000,172.8800,26.3950,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,1.0000,7.0000,177.0400,26.3950,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,2.0000,1.0000,152.0800,29.1850,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,2.0000,2.0000,156.2400,29.1850,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,2.0000,3.0000,160.4000,29.1850,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,2.0000,4.0000,164.5600,29.1850,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,2.0000,5.0000,168.7200,29.1850,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,2.0000,6.0000,172.8800,29.1850,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,2.0000,7.0000,177.0400,29.1850,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,3.0000,1.0000,152.0800,31.9750,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,3.0000,2.0000,156.2400,31.9750,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,3.0000,3.0000,160.4000,31.9750,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,3.0000,4.0000,164.5600,31.9750,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,3.0000,5.0000,168.7200,31.9750,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,3.0000,6.0000,172.8800,31.9750,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,3.0000,7.0000,177.0400,31.9750,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,4.0000,1.0000,152.0800,34.7650,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
1.0000,4.0000,2.0000,156.2400,34.7650,68.0000,15.8881,10.1895,12.1903,10.9046,8.7375
1.0000,4.0000,3.0000,160.4000,34.7650,68.0000,15.8809,12.9924,9.1324,14.7576,7.1851
1.0000,4.0000,4.0000,164.5600,34.7650,68.0000,15.8737,14.9077,5.4529,18.1799,4.8420
1.0000,4.0000,5.0000,168.7200,34.7650,68.0000,15.8664,15.8043,1.4029,20.4100,1.3891
1.0000,4.0000,6.0000,172.8800,34.7650,67.0000,15.8592,15.6205,-2.7411,19.7736,-2.6246
1.0000,4.0000,7.0000,177.0400,34.7650,67.0000,15.8520,14.3685,-6.6957,17.0237,-5.6732
1.0000,5.0000,1.0000,152.0800,37.5550,68.0000,15.8953,6.6907,14.4186,6.8657,9.7102
