x,y,z,r_hat_vox,theta_deg,winding_ordinal,dk_to_nearest_measured,ct_brightness
1677.3,1716.0,1552,85.4,0.0,2,1,167
1735.4,1912.6,2384,44.1,0.0,2,1,158
2105.6,2169.2,6800,169.6,0.0,2,1,216
1717.5,1870.2,9936,64.1,0.0,2,1,247
1991.4,2026.5,3792,67.4,6.0,2,1,136
1987.4,2057.0,4176,59.6,6.0,2,1,124
1942.3,2062.2,4560,65.7,6.0,2,1,121
2029.8,2121.0,5648,46.7,6.0,2,1,180
1806.1,1888.8,8848,72.5,6.0,2,1,156
1884.8,1822.1,9040,79.2,6.0,2,1,146
1787.5,1903.7,9680,96.2,6.0,2,1,155
1726.7,1835.0,10192,49.9,6.0,2,1,192
1814.4,1660.5,10768,90.8,6.0,2,1,169
1898.1,2049.3,3408,33.4,12.0,2,1,138
1984.5,2048.3,4112,39.4,12.0,2,1,147
2008.8,2162.1,7056,64.8,12.0,2,2,162
1828.6,1917.2,9360,51.1,12.0,2,1,104
1726.8,1750.8,10576,61.9,12.0,2,1,167
1977.6,2042.7,3600,47.6,18.0,2,1,126
2000.3,2071.5,4432,89.0,18.0,2,1,133
2031.3,2179.8,6928,104.8,18.0,2,1,171
1832.5,1878.1,8656,52.2,18.0,2,1,175
1760.4,1796.2,10384,82.6,18.0,2,1,128
1686.1,1756.8,10704,41.2,18.0,2,1,148
1992.8,2061.0,4112,51.3,24.0,2,1,131
2005.1,2193.7,6864,51.0,24.0,2,1,146
1916.5,1999.3,7888,29.7,24.0,2,1,139
1944.4,1905.8,8272,56.8,24.0,2,1,171
1815.3,1867.8,8976,73.9,24.0,2,1,176
1713.1,1905.5,9872,64.3,24.0,2,1,191
1608.7,1838.5,1232,34.2,30.0,2,2,128
1909.3,2067.7,3408,50.7,30.0,2,1,101
1987.0,2059.5,3600,63.1,30.0,2,1,130
1991.2,2157.8,5904,54.9,30.0,2,1,161
1995.6,2199.6,6736,51.1,30.0,2,2,152
1871.2,1887.1,8400,31.3,30.0,2,1,158
1777.1,1906.0,8848,49.7,30.0,2,1,149
1706.8,1909.6,9872,60.6,30.0,2,1,150
1866.9,2051.5,3216,43.8,36.0,2,1,111
1883.3,2062.6,3280,46.5,36.0,2,1,138
2029.7,2108.5,5200,57.5,36.0,2,1,141
1770.2,1892.5,8784,47.7,36.0,2,1,166
